id,osm_type,osm_id,municipality,calc_area_m2,calc_capacity_kw,calc_annual_kwh,calc_peak_kw,matched_query_tags,osm_tags,generated_at
way/1039503761,way,1039503761,横瀬町,64.27,11.57,12148.5,8.68,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039503762,way,1039503762,横瀬町,69.65,12.54,13167.0,9.4,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039503763,way,1039503763,横瀬町,69.85,12.57,13198.5,9.43,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039503764,way,1039503764,横瀬町,52.34,9.42,9891.0,7.06,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039503765,way,1039503765,横瀬町,90.22,16.24,17052.0,12.18,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039503766,way,1039503766,横瀬町,115.41,20.77,21808.5,15.58,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039503767,way,1039503767,横瀬町,115.41,20.77,21808.5,15.58,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039503768,way,1039503768,横瀬町,115.41,20.77,21808.5,15.58,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039503769,way,1039503769,横瀬町,90.35,16.26,17073.0,12.2,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039503770,way,1039503770,横瀬町,90.39,16.27,17083.5,12.2,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1147745627,way,1147745627,横瀬町,152.01,27.36,28728.0,20.52,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1147745628,way,1147745628,横瀬町,161.86,29.13,30586.5,21.85,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1316734409,way,1316734409,横瀬町,11985.32,2157.36,2265228.0,1618.02,power=plant + plant:source=solar,name=芦ヶ久保太陽光発電所; plant:source=solar; power=plant,2026-08-03T05:51:52+00:00
way/698536434,way,698536434,横瀬町,145.77,26.24,27552.0,19.68,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/698541697,way,698541697,横瀬町,53.95,9.71,10195.5,7.28,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/698541698,way,698541698,横瀬町,43.78,7.88,8274.0,5.91,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/698542707,way,698542707,横瀬町,85.15,15.33,16096.5,11.5,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/698542708,way,698542708,横瀬町,147.11,26.48,27804.0,19.86,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/698542709,way,698542709,横瀬町,128.53,23.14,24297.0,17.36,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/698542710,way,698542710,横瀬町,618.17,111.27,116833.5,83.45,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/698543838,way,698543838,横瀬町,81.5,14.67,15403.5,11.0,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/698543850,way,698543850,横瀬町,26.21,4.72,4956.0,3.54,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/698553114,way,698553114,横瀬町,14.35,2.58,2709.0,1.94,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/698555586,way,698555586,横瀬町,38.95,7.01,7360.5,5.26,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/698555587,way,698555587,横瀬町,22.09,3.98,4179.0,2.98,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/840263569,way,840263569,横瀬町,363.49,65.43,68701.5,49.07,power=generator + generator:source=solar,building:levels=2; generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; height=3; power=generator,2026-08-03T05:51:52+00:00
way/840281606,way,840281606,横瀬町,8.73,1.57,1648.5,1.18,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; layer=2; power=generator,2026-08-03T05:51:52+00:00
way/960956394,way,960956394,横瀬町,267.52,48.15,50557.5,36.11,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
